,y
1231,1
1232,0
1233,0
1234,1
1235,1
1236,1
1237,0
1238,1
1239,0
1240,0
1241,0
1242,1
1243,1
1244,1
1245,0
1246,0
1247,0
1248,1
1249,0
1250,1
1251,1
1252,0
1253,0
1254,1
1255,0
1256,1
1257,0
1258,0
1259,1
1260,0
1261,1
1262,1
1263,1
1264,0
1265,1
1266,1
1267,1
1268,1
1269,0
1270,1
1271,0
1272,1
1273,0
1274,1
1275,1
1276,0
1277,0
1278,1
1279,0
1280,1
1281,1
1282,0
1283,0
1284,0
1285,1
1286,0
1287,1
1288,0
1289,0
1290,0
1291,0
1292,1
1293,1
1294,0
1295,1
1296,0
1297,1
1298,1
1299,1
1300,0
1301,1
1302,1
1303,0
1304,1
1305,1
1306,1
1307,1
1308,1
1309,0
1310,0
1311,1
1312,0
1313,0
1314,0
1315,0
1316,1
1317,1
1318,1
1319,0
1320,1
1321,1
1322,0
1323,0
1324,1
1325,0
1326,1
1327,1
1328,0
1329,0
1330,1
1331,1
1332,1
1333,1
1334,1
1335,0
1336,1
1337,1
1338,0
1339,0
1340,1
1341,0
1342,1
1343,1
1344,0
1345,0
1346,1
1347,1
1348,1
1349,1
1350,0
1351,0
1352,1
1353,0
1354,1
1355,1
1356,0
1357,1
1358,0
1359,1
1360,0
1361,0
1362,0
1363,0
1364,1
1365,0
1366,0
1367,1
1368,0
1369,1
1370,1
1371,1
1372,0
1373,1
1374,1
1375,1
1376,1
1377,1
1378,0
1379,1
1380,0
1381,1
1382,1
1383,1
1384,1
1385,0
1386,1
1387,1
1388,0
1389,1
1390,0
1391,1
1392,1
1393,0
1394,0
1395,0
1396,1
1397,0
1398,0
1399,1
1400,1
1401,0
1402,1
1403,0
1404,0
1405,0
1406,1
1407,0
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1415,1
1416,0
1417,0
1418,1
1419,0
1420,1
1421,0
1422,0
1423,0
1424,1
1425,0
1426,0
1427,0
1428,1
1429,0
1430,1
1431,1
1432,1
1433,1
1434,0
1435,1
1436,0
1437,0
1438,1
1439,0
1440,1
1441,1
1442,0
1443,1
1444,1
1445,0
1446,0
1447,1
1448,0
1449,1
1450,0
1451,1
1452,0
1453,1
1454,1
1455,1
1456,1
1457,0
1458,0
1459,0
1460,0
1461,1
1462,0
1463,0
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,1
1471,1
1472,1
1473,1
1474,1
1475,0
1476,0
1477,0
1478,1
1479,1
1480,0
1481,1
1482,0
1483,0
1484,0
1485,1
1486,0
1487,0
1488,1
1489,0
1490,0
1491,1
1492,1
1493,1
1494,0
1495,0
1496,0
1497,0
1498,0
1499,1
1500,1
1501,0
1502,1
1503,0
1504,1
1505,1
1506,0
1507,1
1508,1
1509,1
1510,1
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,1
1518,0
1519,1
1520,1
1521,1
1522,1
1523,1
1524,0
1525,1
1526,0
1527,0
1528,1
1529,0
1530,1
1531,1
1532,1
1533,1
1534,1
1535,0
1536,1
1537,0
1538,0
1539,0
1540,1
1541,1
1542,1
1543,0
1544,1
1545,1
1546,0
1547,1
1548,1
1549,0
1550,0
1551,1
1552,1
1553,1
1554,0
1555,1
1556,1
1557,0
1558,1
1559,1
1560,1
1561,0
1562,0
1563,0
1564,0
1565,1
1566,1
1567,1
1568,0
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,0
1577,0
1578,0
1579,1
1580,0
1581,0
1582,1
1583,1
1584,0
1585,1
1586,1
1587,0
1588,1
1589,1
1590,1
1591,1
1592,1
1593,0
1594,1
1595,1
1596,0
1597,1
1598,0
1599,1
1600,1
1601,0
1602,0
1603,0
1604,0
1605,1
1606,1
1607,1
1608,0
1609,1
1610,0
1611,1
1612,0
1613,0
1614,1
1615,0
1616,1
1617,0
1618,0
1619,0
1620,0
1621,1
1622,1
1623,1
1624,0
1625,1
1626,1
1627,1
1628,1
1629,0
1630,1
1631,0
1632,0
1633,1
1634,0
1635,1
1636,1
1637,1
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,1
1645,1
1646,0
1647,0
1648,1
1649,0
1650,0
1651,1
1652,0
1653,0
1654,0
1655,0
1656,1
1657,1
1658,0
1659,1
1660,0
1661,0
1662,0
1663,0
1664,1
1665,1
1666,0
1667,1
1668,1
1669,0
1670,0
1671,1
1672,1
1673,0
1674,1
1675,0
1676,1
1677,1
1678,0
1679,0
1680,1
1681,1
1682,0
1683,1
1684,0
1685,1
1686,1
1687,1
1688,1
1689,0
1690,1
1691,1
1692,0
1693,0
1694,0
1695,0
1696,0
1697,1
1698,1
1699,1
1700,0
1701,0
1702,0
1703,0
1704,1
1705,0
1706,0
1707,1
1708,0
1709,0
1710,0
1711,0
1712,1
1713,0
1714,0
1715,1
1716,1
1717,0
1718,1
1719,0
1720,0
1721,1
1722,1
1723,1
1724,0
1725,0
1726,1
1727,0
1728,1
1729,0
1730,1
1731,1
1732,1
1733,1
1734,0
1735,1
1736,1
1737,1
1738,1
1739,0
1740,0
1741,1
1742,0
1743,1
1744,0
1745,0
1746,0
1747,1
1748,1
1749,0
1750,1
1751,1
1752,1
1753,1
1754,0
1755,0
1756,1
1757,1
1758,1
1759,0
1760,1
1761,0
1762,1
1763,0
1764,1
1765,0
1766,1
1767,1
1768,1
1769,0
1770,1
1771,1
1772,0
1773,1
1774,1
1775,0
1776,0
1777,1
1778,1
1779,1
1780,0
1781,1
1782,1
1783,0
1784,1
1785,1
1786,1
1787,0
1788,0
1789,1
1790,1
1791,0
1792,0
1793,0
1794,1
1795,0
1796,0
1797,1
1798,0
1799,1
1800,1
1801,1
1802,0
1803,0
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,0
1814,1
1815,0
1816,1
1817,0
1818,0
1819,1
1820,1
1821,1
1822,1
1823,0
1824,1
1825,1
1826,1
1827,0
1828,0
1829,0
1830,1
1831,0
1832,0
1833,1
1834,1
1835,0
1836,0
1837,0
1838,0
1839,0
1840,0
1841,1
1842,1
1843,1
1844,0
1845,1
1846,0
1847,0
1848,1
1849,1
1850,1
1851,0
1852,1
1853,0
1854,0
1855,0
1856,0
1857,1
1858,0
1859,1
1860,0
1861,1
1862,0
1863,0
1864,0
1865,0
1866,0
1867,1
1868,1
1869,1
1870,1
1871,1
1872,0
1873,0
1874,1
1875,1
1876,1
1877,1
1878,0
1879,0
1880,1
1881,0
1882,0
1883,0
1884,0
1885,1
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,1
1895,0
1896,0
1897,1
1898,1
1899,1
1900,0
1901,0
1902,1
1903,1
1904,1
1905,1
1906,0
1907,0
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,0
1916,1
1917,1
1918,0
1919,1
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,1
1927,0
1928,0
1929,1
1930,1
1931,1
1932,0
1933,0
1934,1
1935,1
1936,1
1937,0
1938,1
1939,1
1940,0
1941,1
1942,0
1943,0
1944,1
1945,0
1946,1
1947,0
1948,0
1949,1
1950,1
1951,1
1952,1
1953,1
1954,0
1955,1
1956,1
1957,0
1958,1
1959,0
1960,1
1961,0
1962,0
1963,1
1964,0
1965,1
1966,1
1967,0
1968,0
1969,1
1970,0
1971,0
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,0
1979,0
1980,1
1981,0
1982,0
1983,0
1984,1
1985,0
1986,1
1987,0
1988,1
1989,1
1990,0
1991,1
1992,1
1993,0
1994,0
1995,0
1996,0
1997,1
1998,0
1999,1
2000,1
2001,0
2002,1
2003,1
2004,0
2005,1
2006,0
2007,0
2008,1
2009,1
2010,1
2011,1
2012,0
2013,0
2014,0
2015,0
2016,0
2017,1
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,1
2025,1
2026,1
2027,1
2028,0
2029,0
2030,1
2031,0
2032,1
2033,1
2034,1
2035,0
2036,1
2037,0
2038,0
2039,1
2040,1
2041,0
2042,0
2043,0
2044,0
2045,0
2046,1
2047,0
2048,1
2049,1
2050,0
2051,1
2052,1
2053,1
2054,1
2055,0
2056,0
2057,0
2058,1
2059,1
2060,0
2061,1
2062,0
2063,1
2064,1
2065,1
2066,0
2067,1
2068,0
2069,0
2070,0
2071,1
2072,1
2073,1
2074,0
2075,1
2076,1
2077,0
2078,1
2079,0
2080,0
2081,1
2082,1
2083,0
2084,1
2085,1
2086,0
2087,1
2088,0
2089,0
2090,1
2091,1
2092,1
2093,1
2094,0
2095,1
2096,0
2097,0
2098,1
2099,0
2100,0
2101,1
2102,0
2103,0
2104,0
2105,1
2106,1
2107,0
2108,1
2109,1
2110,1
2111,0
2112,0
2113,1
2114,1
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,1
2122,1
2123,0
2124,0
2125,0
2126,1
2127,1
2128,0
2129,1
2130,0
2131,0
2132,0
2133,0
2134,1
2135,0
2136,1
2137,1
2138,0
2139,0
2140,0
2141,1
2142,1
2143,1
2144,0
2145,1
2146,0
2147,1
2148,0
2149,0
2150,0
2151,0
2152,1
2153,0
2154,1
2155,0
2156,1
2157,1
2158,1
2159,0
2160,0
2161,1
2162,0
2163,0
2164,1
2165,0
2166,1
2167,1
2168,1
2169,0
2170,1
2171,1
2172,0
2173,1
2174,0
2175,1
2176,1
2177,0
2178,1
2179,0
2180,1
2181,1
2182,1
2183,0
2184,0
2185,0
2186,0
2187,0
2188,1
2189,0
2190,0
2191,0
2192,1
2193,1
2194,0
2195,1
2196,1
2197,0
2198,0
2199,1
2200,0
2201,1
2202,0
2203,1
2204,1
2205,1
2206,0
2207,1
2208,1
2209,1
2210,1
2211,1
2212,0
2213,1
2214,0
2215,1
2216,0
2217,0
2218,1
2219,1
2220,1
2221,0
2222,0
2223,0
2224,0
2225,1
2226,1
2227,0
2228,1
2229,1
2230,0
2231,0
2232,1
2233,1
2234,0
2235,0
2236,1
2237,0
2238,0
2239,1
2240,0
2241,0
2242,1
2243,1
2244,1
2245,0
2246,0
2247,1
2248,0
2249,1
2250,0
2251,1
2252,0
2253,1
2254,1
2255,1
2256,1
2257,0
2258,1
2259,0
2260,0
2261,0
2262,1
2263,0
2264,0
2265,1
2266,0
2267,1
2268,0
2269,0
2270,1
2271,0
2272,1
2273,1
2274,1
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,0
2289,0
2290,0
2291,0
2292,1
2293,1
2294,0
2295,0
2296,1
2297,0
2298,1
2299,0
2300,0
2301,1
2302,0
2303,1
2304,1
2305,1
2306,1
2307,0
2308,1
2309,1
2310,0
2311,0
2312,1
2313,1
2314,0
2315,0
2316,0
2317,1
2318,1
2319,0
2320,1
2321,1
2322,1
2323,0
2324,1
2325,1
2326,1
2327,1
2328,1
2329,0
2330,0
2331,0
2332,1
2333,1
2334,0
2335,0
2336,0
2337,1
2338,1
2339,0
2340,0
2341,0
2342,1
2343,1
2344,1
2345,1
2346,1
2347,0
2348,0
2349,1
2350,0
2351,0
2352,1
2353,1
2354,0
2355,0
2356,0
2357,1
2358,1
2359,0
2360,0
2361,1
2362,1
2363,1
2364,0
2365,1
2366,1
2367,1
2368,0
2369,1
2370,1
2371,0
2372,1
2373,1
2374,0
2375,0
2376,0
2377,1
2378,1
2379,0
2380,1
2381,1
2382,0
2383,1
2384,1
2385,0
2386,1
2387,0
2388,1
2389,0
2390,0
2391,0
2392,1
2393,0
2394,1
2395,0
2396,0
2397,0
2398,0
2399,1
2400,1
2401,0
2402,0
2403,0
2404,1
2405,1
2406,0
2407,1
2408,1
2409,0
2410,1
2411,1
2412,1
2413,1
2414,0
2415,0
2416,0
2417,1
2418,0
2419,1
2420,1
2421,0
2422,1
2423,0
2424,0
2425,0
2426,0
2427,1
2428,0
2429,1
2430,0
2431,1
2432,0
2433,0
2434,1
2435,0
2436,0
2437,0
2438,1
2439,0
2440,0
2441,0
2442,0
2443,1
2444,0
2445,1
2446,0
2447,0
2448,1
2449,0
2450,0
2451,1
2452,1
2453,1
2454,1
2455,0
2456,0
2457,1
2458,0
2459,1
2460,0
2461,0
2462,0
2463,1
2464,0
2465,1
2466,0
2467,1
2468,1
2469,1
2470,1
2471,1
2472,0
2473,0
2474,1
2475,0
2476,1
2477,0
2478,0
2479,1
2480,0
2481,1
2482,0
2483,0
2484,1
2485,1
2486,0
2487,1
2488,1
2489,0
2490,0
2491,0
2492,1
2493,1
2494,0
2495,1
2496,0
2497,0
2498,0
2499,0
2500,0
2501,0
2502,1
2503,1
2504,0
2505,1
2506,0
2507,0
2508,0
2509,1
2510,0
2511,1
2512,1
2513,0
2514,1
2515,0
2516,0
2517,0
2518,1
2519,1
2520,0
2521,1
2522,0
2523,0
2524,0
2525,1
2526,1
2527,0
2528,0
2529,0
2530,1
2531,1
2532,0
2533,0
2534,1
2535,1
2536,0
2537,1
2538,1
2539,0
2540,1
2541,0
2542,0
2543,1
2544,1
2545,1
2546,1
2547,0
2548,0
2549,1
2550,1
2551,1
2552,1
2553,0
2554,0
2555,1
2556,1
2557,1
2558,0
2559,1
2560,1
2561,1
2562,0
2563,0
2564,0
2565,1
2566,0
2567,0
2568,0
2569,1
2570,0
2571,1
2572,1
2573,0
2574,0
2575,1
2576,0
2577,0
2578,1
2579,0
2580,1
2581,0
2582,1
2583,0
2584,0
2585,0
2586,0
2587,1
2588,0
2589,0
2590,1
2591,0
2592,1
2593,0
2594,1
2595,0
2596,0
2597,1
2598,0
2599,0
2600,0
2601,0
2602,1
2603,1
2604,1
2605,1
2606,1
2607,0
2608,0
2609,0
2610,1
2611,0
2612,0
2613,1
2614,0
2615,1
2616,0
2617,1
2618,0
2619,0
2620,1
2621,1
2622,0
2623,0
2624,0
2625,1
2626,0
2627,1
2628,1
2629,1
2630,1
2631,1
2632,0
2633,1
2634,0
2635,1
2636,0
2637,0
2638,1
2639,1
2640,1
2641,1
2642,0
2643,0
2644,1
2645,0
2646,1
2647,1
2648,0
2649,1
2650,0
2651,1
2652,0
2653,1
2654,0
2655,1
2656,0
2657,0
2658,1
2659,0
2660,0
2661,0
2662,1
2663,1
2664,0
2665,1
2666,0
2667,1
2668,0
2669,1
2670,0
2671,1
2672,0
2673,1
2674,0
2675,0
2676,1
2677,1
2678,0
2679,0
2680,1
2681,0
2682,0
2683,1
2684,0
2685,0
2686,1
2687,1
2688,1
2689,1
2690,0
2691,0
2692,0
2693,1
2694,1
2695,1
2696,1
2697,0
2698,1
2699,0
2700,1
2701,0
2702,1
2703,0
2704,0
2705,0
2706,1
2707,1
2708,0
2709,1
2710,1
2711,0
2712,1
2713,0
2714,1
2715,1
2716,0
2717,1
2718,1
2719,0
2720,1
2721,0
2722,0
2723,0
2724,1
2725,1
2726,0
2727,1
2728,0
2729,0
2730,1
2731,1
2732,1
2733,0
2734,1
2735,0
2736,1
2737,0
2738,0
2739,1
2740,0
2741,1
2742,1
2743,1
2744,0
2745,0
2746,0
2747,1
2748,1
2749,0
2750,0
2751,1
2752,0
2753,0
2754,0
2755,0
2756,0
2757,1
2758,1
2759,1
2760,0
2761,0
2762,1
2763,1
2764,1
2765,0
2766,1
2767,1
2768,1
2769,1
2770,0
2771,0
2772,1
2773,1
2774,0
2775,1
2776,0
2777,0
2778,1
2779,1
2780,1
2781,0
2782,1
2783,0
2784,1
2785,1
2786,1
2787,0
2788,0
2789,1
2790,0
2791,1
2792,1
2793,1
2794,1
2795,1
2796,1
2797,0
2798,1
2799,0
2800,0
2801,1
2802,1
2803,0
2804,1
2805,0
2806,1
2807,0
2808,0
2809,0
2810,1
2811,1
2812,1
2813,1
2814,1
2815,0
2816,1
2817,0
2818,1
2819,1
2820,0
2821,1
2822,0
2823,0
2824,1
2825,0
2826,1
2827,1
2828,1
2829,0
2830,1
2831,1
2832,1
2833,0
2834,0
2835,1
2836,0
2837,0
2838,0
2839,1
2840,1
2841,0
2842,0
2843,1
2844,1
2845,0
2846,1
2847,0
2848,1
2849,0
2850,0
2851,0
2852,0
2853,1
2854,0
2855,1
2856,0
2857,0
2858,0
2859,0
2860,0
2861,1
2862,1
2863,1
2864,1
2865,1
2866,1
2867,0
2868,1
2869,0
2870,1
2871,1
2872,1
2873,0
2874,0
2875,1
2876,1
2877,1
2878,1
2879,1
2880,1
2881,1
2882,0
2883,1
2884,1
2885,1
2886,0
2887,1
2888,1
2889,1
2890,0
2891,1
2892,0
2893,0
2894,1
2895,1
2896,0
2897,1
2898,1
2899,0
2900,1
2901,1
2902,0
2903,1
2904,1
2905,1
2906,0
2907,1
2908,0
2909,0
2910,1
2911,1
2912,1
2913,0
2914,0
2915,1
2916,1
2917,0
2918,1
2919,1
2920,0
2921,1
2922,1
2923,0
2924,0
2925,0
2926,1
2927,0
2928,1
2929,1
2930,1
2931,1
2932,1
2933,0
2934,1
2935,0
2936,1
2937,0
2938,0
2939,0
2940,1
2941,0
2942,1
2943,1
2944,0
2945,1
2946,1
2947,1
2948,1
2949,1
2950,1
2951,0
2952,1
2953,1
2954,1
2955,0
2956,0
2957,0
2958,1
2959,1
2960,1
2961,0
2962,1
2963,1
2964,1
2965,1
2966,0
2967,0
2968,1
2969,0
2970,1
2971,0
2972,0
2973,1
2974,1
2975,1
2976,0
2977,1
2978,1
2979,0
2980,0
2981,0
2982,1
2983,0
2984,1
2985,0
2986,0
2987,1
2988,1
2989,0
2990,1
2991,1
2992,0
2993,1
2994,1
2995,0
2996,0
2997,1
